dataset,held_out,seed,shift_balacc,seen_balacc,shift_ECE,seen_ECE,shift_Brier,shift_cov_marg,shift_cov_bal,seen_cov_marg,shift_setsize,shift_AURC,seen_AURC,set_empty,set_normal_only,set_attack_only,set_both
UAVIDS-2025,Sybil Attack,0,0.9944689090035271,0.9940759257622043,0.0032119617739533937,0.0012912491619236166,0.004330554743609347,0.8842854467128676,0.8514231286159095,0.9109464149167696,0.8843978273084847,0.0001477587975443798,3.862091907819785e-05,0.11560217269151526,0.07960292189548604,0.8047949054129987,0.0
UAVIDS-2025,Blackhole Attack,0,0.7337924494682104,0.9929813556572578,0.3831215703683023,0.0008736596855439461,0.3648916935101094,0.40618908382066277,0.5887812156302931,0.9102139198553781,0.40618908382066277,0.18944608092311677,4.074888083892926e-05,0.5938109161793372,0.07400445558340295,0.3321846282372598,0.0
UAVIDS-2025,Wormhole Attack,0,0.8959985414642183,0.99980894153611,0.15430391791289927,0.00017543216298057088,0.14731237686373505,0.6280309364548495,0.703083668071649,0.9092168674698795,0.6347895763656634,0.033396768261165395,7.2581660785023025e-09,0.3652104236343367,0.0792572463768116,0.5555323299888517,0.0
UAVIDS-2025,Flooding Attack,0,0.9909923708821551,0.9940324006599313,0.007987375526142131,0.0007521857938666099,0.007923331863250395,0.7103025420694593,0.7517829830170664,0.9072291853178156,0.7103025420694593,0.0002510753600635234,2.8693094599227233e-05,0.28969745793054064,0.09443250984604368,0.6158700322234156,0.0
UAVIDS-2025,Sybil Attack,1,0.9923680686673926,0.9935550178243308,0.004151042893023893,0.0015345139547434236,0.00451545683957031,0.9356059187113692,0.8914483938768769,0.910122933945062,0.9371043266529313,0.00024374150760002756,4.727622193331391e-05,0.06289567334706873,0.08353624274208653,0.8535680839108447,0.0
UAVIDS-2025,Blackhole Attack,1,0.7186848319634946,0.9933870371001147,0.4458043772562046,0.0013613029877170934,0.4329772003267407,0.40834725703146757,0.6013096586428868,0.9116601385959626,0.40834725703146757,0.1979110264139128,5.130690503976855e-05,0.5916527429685324,0.07630186577554998,0.3320453912559176,0.0
UAVIDS-2025,Wormhole Attack,1,0.9036654892523039,0.9999284845884289,0.1551336307002014,0.00016705315001265753,0.15268853831472795,0.6286580267558528,0.7063495886878725,0.913012048192771,0.63604375696767,0.033426780488459935,1.4516550809403336e-08,0.36395624303233,0.08047658862876254,0.5555671683389075,0.0
UAVIDS-2025,Flooding Attack,1,0.9929270308032885,0.9935735347143397,0.006410619102991632,0.0012440867031913755,0.003669406199349811,0.7136591478696742,0.7576593447883057,0.908180393912265,0.7136591478696742,9.624274705935876e-05,5.2980363391787294e-05,0.28634085213032584,0.09550662370211242,0.6181525241675617,0.0
UAVIDS-2025,Sybil Attack,2,0.9943112866845304,0.9923909080611371,0.003893158045959933,0.0015164127367516874,0.004091514730610953,0.8930136729724667,0.8625598661005895,0.9127698370684078,0.8930136729724667,0.00014586187009801627,4.4723919956941346e-05,0.10698632702753325,0.08087656864581383,0.812137104326653,0.0
UAVIDS-2025,Blackhole Attack,2,0.7164992002162796,0.9934350135780267,0.43281747042348767,0.0007318761931652549,0.4118819123827372,0.40904344193817876,0.6013489821958518,0.9136486893642664,0.4093915343915344,0.19928672047617443,4.1926833689807095e-05,0.5906084656084656,0.07658033973823447,0.3328111946532999,0.0
UAVIDS-2025,Wormhole Attack,2,0.9058314020024381,0.99980894153611,0.14842269087430976,0.0001634542890607546,0.15181673306782803,0.6393882385730212,0.7217031348445089,0.9137951807228916,0.6492823299888517,0.03645058458539741,2.1777122275006653e-08,0.3507176700111483,0.0849010590858417,0.56438127090301,0.0
UAVIDS-2025,Flooding Attack,2,0.9950903582285873,0.993693442530353,0.005024758868574232,0.001770568807580691,0.0027860653987645373,0.7379162191192267,0.7713975583136022,0.9128245299910475,0.7379162191192267,6.546728746921021e-05,4.621164189310686e-05,0.2620837808807734,0.09550662370211242,0.6424095954171142,0.0
UAVIDS-2025,Sybil Attack,3,0.9946888314429707,0.9923213863703695,0.004207221728946875,0.0017901043233911071,0.00468904428858698,0.8875070237872261,0.8603582540901291,0.912358096582554,0.8875070237872261,0.0001789952991793703,5.312077723586745e-05,0.11249297621277393,0.08106386963850909,0.806443154148717,0.0
UAVIDS-2025,Blackhole Attack,3,0.7673195673589933,0.9931130791095762,0.3247143902975477,0.002258606922291637,0.31906093727189194,0.40674603174603174,0.5932116692643423,0.9112383247966255,0.4067808409913673,0.16042750693066096,5.432623306692611e-05,0.5932191590086326,0.07487468671679198,0.3319061542745753,0.0
UAVIDS-2025,Wormhole Attack,3,0.9070190906999923,1.0,0.16819306517063676,4.589969515578218e-09,0.16841293946386252,0.6338141025641025,0.7208699912325025,0.9124096385542169,0.6430114269788183,0.03528667861330236,0.0,0.3569885730211817,0.0846571906354515,0.5583542363433668,0.0
UAVIDS-2025,Flooding Attack,3,0.995725801773061,0.9942234591238213,0.007214116357407796,0.0006236475257665723,0.0025763280775041053,0.7187164339419978,0.7611861377882335,0.9120971351835273,0.7187164339419978,6.60589854578549e-05,3.4014793687471014e-05,0.28128356605800214,0.09568564267812388,0.623030791263874,0.0
UAVIDS-2025,Sybil Attack,4,0.9931486921908583,0.9938851196697558,0.003566950689724572,0.0014980382656455673,0.004253258117904807,0.9363551226821503,0.8906721965651772,0.9078289512381624,0.9364675032777674,8.814080691409792e-05,3.407624652925747e-05,0.06353249672223263,0.08188799400636823,0.8545795092713991,0.0
