family,tsfs_cov,gain_vs_random,rand_CI,rand_excl_0,gain_vs_lowimp,lowimp_CI,lowimp_excl_0,n_seeds
Blackhole Attack,0.592,-0.006,"[-0.010, -0.004]",True,-0.003,"[-0.007, +0.001]",False,5
BruteForce,0.613,0.039,"[-0.039, +0.150]",False,0.166,"[+0.073, +0.232]",True,5
DDoS,0.036,0.013,"[-0.004, +0.040]",False,0.011,"[-0.051, +0.079]",False,5
De-authentication,0.682,0.247,"[+0.075, +0.430]",True,0.268,"[+0.095, +0.444]",True,5
Flooding Attack,0.824,0.042,"[+0.016, +0.067]",True,0.074,"[+0.060, +0.087]",True,5
Jamming,0.712,0.43,"[+0.236, +0.624]",True,0.601,"[+0.494, +0.681]",True,5
MITM,0.224,-0.028,"[-0.232, +0.116]",False,-0.02,"[-0.171, +0.120]",False,5
Sybil Attack,0.892,0.006,"[-0.005, +0.018]",False,0.008,"[-0.001, +0.017]",False,5
UDP Flooding,0.564,0.111,"[-0.013, +0.232]",False,0.143,"[+0.056, +0.280]",True,5
Wormhole Attack,0.698,-0.012,"[-0.021, -0.001]",True,-0.012,"[-0.015, -0.007]",True,5
Mean (10 families),0.584,0.084,"[+0.028, +0.131]",True,0.123,"[+0.108, +0.139]",True,5
