dataset,held_out,seed,shift_balacc,shift_Brier_temp,marginal_cov_shift,balanced_cov_shift,setsize_shift,marginal_cov_seen,balanced_cov_seen,shift_AURC,ECE_raw_seen,ECE_raw_shift,Brier_raw_shift,ECE_temperature_seen,ECE_temperature_shift,Brier_temperature_shift,ECE_platt_seen,ECE_platt_shift,Brier_platt_shift,ECE_isotonic_seen,ECE_isotonic_shift,Brier_isotonic_shift
UAVIDS-2025,Sybil Attack,0,0.9944689090035271,0.004330554743609347,0.8842854467128676,0.8514231286159095,0.8843978273084847,0.9109464149167696,0.8703173541654359,0.0001477587975443798,0.0016123000475640565,0.003705329174750258,0.00434642987045888,0.0012912491619236166,0.0032119617739533937,0.004330554743609347,0.0012543454471217316,0.0031538199187221587,0.004325369501805387,0.0015440627591871555,0.003215324819776242,0.004402718991041219
UAVIDS-2025,Blackhole Attack,0,0.7337924494682104,0.3648916935101094,0.40618908382066277,0.5887812156302931,0.40618908382066277,0.9102139198553781,0.8707661441668284,0.18944608092311677,0.0013479936127701589,0.4023426022878597,0.39100208482109894,0.0008736596855439461,0.3831215703683023,0.3648916935101094,0.001102122356802101,0.3779732318608321,0.35949913978721515,0.0006615594987406015,0.38223829084287203,0.3436414729064576
UAVIDS-2025,Wormhole Attack,0,0.8959985414642183,0.14731237686373505,0.6280309364548495,0.703083668071649,0.6347895763656634,0.9092168674698795,0.8662885477154679,0.033396768261165395,0.00014522007305012416,0.15591640489829645,0.14890699044330336,0.00017543216298057088,0.15430391791289927,0.14731237686373505,0.00017071146722732534,0.20727984055350512,0.2168371251088355,0.0005421686746988064,0.25708198428508033,0.2570442013096399
UAVIDS-2025,Flooding Attack,0,0.9909923708821551,0.007923331863250395,0.7103025420694593,0.7517829830170664,0.7103025420694593,0.9072291853178156,0.8668325637766429,0.0002510753600635234,0.000560346121045115,0.006956098268874872,0.007780381435567415,0.0007521857938666099,0.007987375526142131,0.007923331863250395,0.0009296584667197631,0.008131358446531829,0.00809991534219693,0.0006575105976435752,0.013485846624283237,0.008329728201481984
UAVIDS-2025,Sybil Attack,1,0.9923680686673926,0.00451545683957031,0.9356059187113692,0.8914483938768769,0.9371043266529313,0.910122933945062,0.8773329880183603,0.00024374150760002756,0.0010108917116714963,0.0038668424622670767,0.004493737518911329,0.0015345139547434236,0.004151042893023893,0.00451545683957031,0.0016883716232608595,0.004415549496566856,0.004512835858750424,0.0020124888149795775,0.004154288370213137,0.004523657171557593
UAVIDS-2025,Blackhole Attack,1,0.7186848319634946,0.4329772003267407,0.40834725703146757,0.6013096586428868,0.40834725703146757,0.9116601385959626,0.878302018680701,0.1979110264139128,0.001284179097114882,0.444050877051198,0.43042118484165554,0.0013613029877170934,0.4458043772562046,0.4329772003267407,0.001338551874533299,0.44690478545718104,0.43406642860590283,0.0017508548126859405,0.4742099241466485,0.4461035473837286
UAVIDS-2025,Wormhole Attack,1,0.9036654892523039,0.15268853831472795,0.6286580267558528,0.7063495886878725,0.63604375696767,0.913012048192771,0.8718025991001519,0.033426780488459935,0.0001947931586569168,0.15366293150117485,0.15101613333851657,0.00016705315001265753,0.1551336307002014,0.15268853831472795,0.000192330595592876,0.15246037218781602,0.14992024446574104,0.00025602409638552444,0.16519140674539173,0.1572956093446951
UAVIDS-2025,Flooding Attack,1,0.9929270308032885,0.003669406199349811,0.7136591478696742,0.7576593447883057,0.7136591478696742,0.908180393912265,0.8691308637132573,9.624274705935876e-05,0.0012532231938070077,0.0059000028708283865,0.0035987123560460976,0.0012440867031913755,0.006410619102991632,0.003669406199349811,0.0010574416680634755,0.006594116212324476,0.0037697830470006144,0.002871714842121376,0.006099280584893578,0.0036200391966002637
UAVIDS-2025,Sybil Attack,2,0.9943112866845304,0.004091514730610953,0.8930136729724667,0.8625598661005895,0.8930136729724667,0.9127698370684078,0.8749897855979747,0.00014586187009801627,0.0016853856761139539,0.0039020049807649863,0.004089890625845115,0.0015164127367516874,0.003893158045959933,0.004091514730610953,0.0014697759374063704,0.003977347030824016,0.0040942239973639,0.002219259358964806,0.0037394993531891445,0.004086800944187154
UAVIDS-2025,Blackhole Attack,2,0.7164992002162796,0.4118819123827372,0.40904344193817876,0.6013489821958518,0.4093915343915344,0.9136486893642664,0.8818117645759511,0.19928672047617443,0.001254435641719054,0.43898126193374654,0.42109687990863065,0.0007318761931652549,0.43281747042348767,0.4118819123827372,0.0010405332230675316,0.45592662548255464,0.4347173160021422,0.002569147970883257,0.47736476578543074,0.4330187017833562
