held_out,seed,frag_raw,frag_norm
DoS,0,0.000871284690219909,0.0004202376876492053
DoS,1,8.322633220814168e-06,3.7871639051445527e-06
DoS,2,3.9099213609006256e-05,1.7123611542047e-05
DoS,3,0.00010946686961688101,4.7848727263044566e-05
DoS,4,0.0001416047743987292,5.7013108744286e-05
DoS,5,8.323385554831475e-05,3.4899701859103516e-05
DoS,6,0.0007041437784209847,0.0003283355908934027
DoS,7,3.747584923985414e-05,1.8580582036520354e-05
DoS,8,0.000346332264598459,0.0001446722453692928
DoS,9,8.356323633051943e-08,3.829387296150344e-08
DDoS,0,0.00021645560627803206,0.0004840028122998774
DDoS,1,5.576370085691451e-07,1.1340362107148394e-06
DDoS,2,0.0023956557270139456,0.004857712425291538
DDoS,3,0.0005999865243211389,0.0012522675096988678
DDoS,4,0.000909467926248908,0.0019441248150542378
DDoS,5,0.000397473486373201,0.0006774563807994127
DDoS,6,0.0007936976617202163,0.0013453132705762982
DDoS,7,4.303045443521114e-06,7.537672900070902e-06
DDoS,8,0.003561509307473898,0.006767070386558771
DDoS,9,0.0013318052515387535,0.0027295409236103296
Blackhole,0,0.5758107900619507,0.14831145107746124
Blackhole,1,0.6084835529327393,0.15501277148723602
Blackhole,2,0.7002958059310913,0.1664867252111435
Blackhole,3,0.8935602307319641,0.2003309279680252
Blackhole,4,0.5847811698913574,0.13406585156917572
Blackhole,5,0.4419468939304352,0.104901522397995
Blackhole,6,0.7744300365447998,0.1729889214038849
Blackhole,7,0.5252345204353333,0.1283607929944992
Blackhole,8,0.411279559135437,0.10783091187477112
Blackhole,9,0.5979676842689514,0.14425787329673767
Wormhole,0,0.5819389820098877,0.15424016118049622
Wormhole,1,0.6719936728477478,0.1727631837129593
Wormhole,2,0.6733043789863586,0.16291502118110657
Wormhole,3,0.7234057188034058,0.1815219223499298
Wormhole,4,0.7465077042579651,0.18963980674743652
Wormhole,5,0.5252342224121094,0.1298411637544632
Wormhole,6,0.7229763269424438,0.1682371199131012
Wormhole,7,0.4848904013633728,0.11936593055725098
Wormhole,8,0.8007177114486694,0.19709408283233643
Wormhole,9,0.40675604343414307,0.10240450501441956
Replay,0,0.23286980390548706,0.09433945268392563
Replay,1,0.31322768330574036,0.10205322504043579
Replay,2,0.15827812254428864,0.05660858377814293
Replay,3,0.08722256124019623,0.030366258695721626
Replay,4,0.3771378993988037,0.13598185777664185
Replay,5,0.18860110640525818,0.06516619771718979
Replay,6,0.26626303791999817,0.09653972834348679
Replay,7,0.17276407778263092,0.06560885906219482
Replay,8,0.13447128236293793,0.048910606652498245
Replay,9,0.17410075664520264,0.060183748602867126
