dataset,held_out,seed,mode,cov_alarm,err_alarm,cov_fired,err_fired,lead
UAV-NIDD,UDP Flooding,4,gradual,,,False,False,
UAV-NIDD,UDP Flooding,5,sharp,,,False,False,
UAV-NIDD,UDP Flooding,5,gradual,,,False,False,
UAV-NIDD,UDP Flooding,6,sharp,,,False,False,
UAV-NIDD,UDP Flooding,6,gradual,,,False,False,
UAV-NIDD,UDP Flooding,7,sharp,,,False,False,
UAV-NIDD,UDP Flooding,7,gradual,,2.0,False,True,
UAV-NIDD,MITM,0,sharp,,,False,False,
UAV-NIDD,MITM,0,gradual,,,False,False,
UAV-NIDD,MITM,1,sharp,81.0,,True,False,
UAV-NIDD,MITM,1,gradual,1868.0,,True,False,
UAV-NIDD,MITM,2,sharp,40.0,,True,False,
UAV-NIDD,MITM,2,gradual,1534.0,,True,False,
UAV-NIDD,MITM,3,sharp,147.0,,True,False,
UAV-NIDD,MITM,3,gradual,1997.0,,True,False,
UAV-NIDD,MITM,4,sharp,,,False,False,
UAV-NIDD,MITM,4,gradual,,,False,False,
UAV-NIDD,MITM,5,sharp,,,False,False,
UAV-NIDD,MITM,5,gradual,,,False,False,
UAV-NIDD,MITM,6,sharp,,,False,False,
UAV-NIDD,MITM,6,gradual,,,False,False,
UAV-NIDD,MITM,7,sharp,,,False,False,
UAV-NIDD,MITM,7,gradual,,2.0,False,True,
UAV-NIDD,Jamming,0,sharp,19.0,,True,False,
UAV-NIDD,Jamming,0,gradual,1938.0,,True,False,
UAV-NIDD,Jamming,1,sharp,,,False,False,
UAV-NIDD,Jamming,1,gradual,,,False,False,
UAV-NIDD,Jamming,2,sharp,10.0,,True,False,
UAV-NIDD,Jamming,2,gradual,1804.0,,True,False,
UAV-NIDD,Jamming,3,sharp,,,False,False,
UAV-NIDD,Jamming,3,gradual,,,False,False,
UAV-NIDD,Jamming,4,sharp,,,False,False,
UAV-NIDD,Jamming,4,gradual,,,False,False,
UAV-NIDD,Jamming,5,sharp,,,False,False,
UAV-NIDD,Jamming,5,gradual,,,False,False,
UAV-NIDD,Jamming,6,sharp,,,False,False,
UAV-NIDD,Jamming,6,gradual,,,False,False,
UAV-NIDD,Jamming,7,sharp,,,False,False,
UAV-NIDD,Jamming,7,gradual,,2.0,False,True,
UAV-NIDD,BruteForce,0,sharp,,,False,False,
UAV-NIDD,BruteForce,0,gradual,,,False,False,
UAV-NIDD,BruteForce,1,sharp,,,False,False,
UAV-NIDD,BruteForce,1,gradual,,,False,False,
UAV-NIDD,BruteForce,2,sharp,,,False,False,
UAV-NIDD,BruteForce,2,gradual,,,False,False,
UAV-NIDD,BruteForce,3,sharp,,,False,False,
UAV-NIDD,BruteForce,3,gradual,,,False,False,
UAV-NIDD,BruteForce,4,sharp,,,False,False,
UAV-NIDD,BruteForce,4,gradual,,,False,False,
UAV-NIDD,BruteForce,5,sharp,,,False,False,
UAV-NIDD,BruteForce,5,gradual,,,False,False,
UAV-NIDD,BruteForce,6,sharp,,,False,False,
UAV-NIDD,BruteForce,6,gradual,,,False,False,
UAV-NIDD,BruteForce,7,sharp,,,False,False,
UAV-NIDD,BruteForce,7,gradual,,2.0,False,True,
UAV-NIDD,De-authentication,0,sharp,,,False,False,
UAV-NIDD,De-authentication,0,gradual,,,False,False,
UAV-NIDD,De-authentication,1,sharp,,,False,False,
UAV-NIDD,De-authentication,1,gradual,,,False,False,
UAV-NIDD,De-authentication,2,sharp,7.0,,True,False,
UAV-NIDD,De-authentication,2,gradual,,,False,False,
UAV-NIDD,De-authentication,3,sharp,,,False,False,
UAV-NIDD,De-authentication,3,gradual,,,False,False,
UAV-NIDD,De-authentication,4,sharp,,,False,False,
UAV-NIDD,De-authentication,4,gradual,,,False,False,
UAV-NIDD,De-authentication,5,sharp,,,False,False,
UAV-NIDD,De-authentication,5,gradual,,,False,False,
UAV-NIDD,De-authentication,6,sharp,,,False,False,
UAV-NIDD,De-authentication,6,gradual,,,False,False,
UAV-NIDD,De-authentication,7,sharp,,,False,False,
UAV-NIDD,De-authentication,7,gradual,,2.0,False,True,
