dataset,held_out,seed,frag_raw,frag_norm
UAVIDS-2025,Sybil Attack,0,2.5477848052978516,0.25067880749702454
UAVIDS-2025,Sybil Attack,1,2.1536643505096436,0.20872794091701508
UAVIDS-2025,Sybil Attack,2,2.22308087348938,0.2145184576511383
UAVIDS-2025,Sybil Attack,3,2.5179760456085205,0.24411071836948395
UAVIDS-2025,Sybil Attack,4,2.3230273723602295,0.2262367457151413
UAVIDS-2025,Sybil Attack,5,2.8403196334838867,0.27100980281829834
UAVIDS-2025,Sybil Attack,6,2.6999025344848633,0.2634754776954651
UAVIDS-2025,Sybil Attack,7,2.867506265640259,0.2773437201976776
UAVIDS-2025,Sybil Attack,8,2.1581363677978516,0.20993171632289886
UAVIDS-2025,Sybil Attack,9,1.9784539937973022,0.1926434487104416
UAVIDS-2025,Blackhole Attack,0,4.887453079223633,0.4726357161998749
UAVIDS-2025,Blackhole Attack,1,5.300398826599121,0.5168783664703369
UAVIDS-2025,Blackhole Attack,2,5.4749345779418945,0.5501962304115295
UAVIDS-2025,Blackhole Attack,3,5.21977424621582,0.5028200745582581
UAVIDS-2025,Blackhole Attack,4,6.145953178405762,0.6098604202270508
UAVIDS-2025,Blackhole Attack,5,5.224424362182617,0.5140678882598877
UAVIDS-2025,Blackhole Attack,6,4.734822750091553,0.45952051877975464
UAVIDS-2025,Blackhole Attack,7,4.933444499969482,0.49154239892959595
UAVIDS-2025,Blackhole Attack,8,4.047013759613037,0.395648330450058
UAVIDS-2025,Blackhole Attack,9,4.9896135330200195,0.49234697222709656
UAVIDS-2025,Wormhole Attack,0,2.905632734298706,0.2775232195854187
UAVIDS-2025,Wormhole Attack,1,3.2517285346984863,0.3096844255924225
UAVIDS-2025,Wormhole Attack,2,2.883223533630371,0.27456676959991455
UAVIDS-2025,Wormhole Attack,3,3.5755856037139893,0.3409886658191681
UAVIDS-2025,Wormhole Attack,4,3.0098631381988525,0.28678444027900696
UAVIDS-2025,Wormhole Attack,5,3.918060541152954,0.37785232067108154
UAVIDS-2025,Wormhole Attack,6,2.764172315597534,0.26386117935180664
UAVIDS-2025,Wormhole Attack,7,3.0699236392974854,0.2951497435569763
UAVIDS-2025,Wormhole Attack,8,2.276505708694458,0.21728113293647766
UAVIDS-2025,Wormhole Attack,9,2.4857144355773926,0.23660551011562347
UAVIDS-2025,Flooding Attack,0,1.742668628692627,0.16648468375205994
UAVIDS-2025,Flooding Attack,1,0.5152968168258667,0.049597859382629395
UAVIDS-2025,Flooding Attack,2,1.4594146013259888,0.14075613021850586
UAVIDS-2025,Flooding Attack,3,0.5985872149467468,0.05771225690841675
UAVIDS-2025,Flooding Attack,4,1.0556224584579468,0.10320081561803818
UAVIDS-2025,Flooding Attack,5,0.8688732385635376,0.08268839865922928
UAVIDS-2025,Flooding Attack,6,1.282331943511963,0.12381894886493683
UAVIDS-2025,Flooding Attack,7,1.9213260412216187,0.18693506717681885
UAVIDS-2025,Flooding Attack,8,1.1815643310546875,0.1159474104642868
UAVIDS-2025,Flooding Attack,9,1.1598247289657593,0.11328569054603577
UAV-NIDD,DDoS,0,5.1128926277160645,0.6076470017433167
UAV-NIDD,DDoS,1,5.522789478302002,0.6188233494758606
UAV-NIDD,DDoS,2,7.918795585632324,1.0326393842697144
UAV-NIDD,DDoS,3,5.550969123840332,0.6512534618377686
UAV-NIDD,DDoS,4,6.48787784576416,0.7406291961669922
UAV-NIDD,DDoS,5,3.878939390182495,0.49479940533638
UAV-NIDD,DDoS,6,5.5525970458984375,0.6094092130661011
UAV-NIDD,DDoS,7,4.475406646728516,0.5371606349945068
UAV-NIDD,DDoS,8,4.199181079864502,0.49649327993392944
UAV-NIDD,DDoS,9,6.412429332733154,0.7734577655792236
UAV-NIDD,UDP Flooding,0,0.0,0.0
UAV-NIDD,UDP Flooding,1,0.0018207784742116928,0.00023187148326542228
UAV-NIDD,UDP Flooding,2,0.0,0.0
UAV-NIDD,UDP Flooding,3,0.01639370247721672,0.002014145953580737
UAV-NIDD,UDP Flooding,4,0.0,0.0
UAV-NIDD,UDP Flooding,5,0.0002901210100390017,3.7077308661537245e-05
UAV-NIDD,UDP Flooding,6,5.964675801806152e-05,7.75725220591994e-06
UAV-NIDD,UDP Flooding,7,0.0031851481180638075,0.0003879324358422309
UAV-NIDD,UDP Flooding,8,0.0016437876038253307,0.00020451955788303167
UAV-NIDD,UDP Flooding,9,0.0,0.0
UAV-NIDD,MITM,0,0.10805266350507736,0.014838436618447304
