dataset,held_out,seed,frag_raw,frag_norm
UAV-NIDD,MITM,1,0.8848284482955933,0.11802070587873459
UAV-NIDD,MITM,2,0.8036056756973267,0.10925832390785217
UAV-NIDD,MITM,3,1.2945891618728638,0.1767168492078781
UAV-NIDD,MITM,4,0.09574442356824875,0.012135853990912437
UAV-NIDD,MITM,5,0.17336192727088928,0.023043764755129814
UAV-NIDD,MITM,6,0.04390866309404373,0.0058973971754312515
UAV-NIDD,MITM,7,0.3216096758842468,0.041048090904951096
UAV-NIDD,MITM,8,0.47636014223098755,0.0636822059750557
UAV-NIDD,MITM,9,0.41065579652786255,0.057314321398735046
UAV-NIDD,Jamming,0,7.012847900390625,0.902732789516449
UAV-NIDD,Jamming,1,4.6450724601745605,0.6013908386230469
UAV-NIDD,Jamming,2,5.588408946990967,0.7680216431617737
UAV-NIDD,Jamming,3,4.078580379486084,0.5463677048683167
UAV-NIDD,Jamming,4,4.939158916473389,0.5915847420692444
UAV-NIDD,Jamming,5,4.632355690002441,0.6345857381820679
UAV-NIDD,Jamming,6,3.2200894355773926,0.4291069507598877
UAV-NIDD,Jamming,7,4.727586269378662,0.6062842607498169
UAV-NIDD,Jamming,8,3.1216187477111816,0.426924467086792
UAV-NIDD,Jamming,9,5.163048267364502,0.7166076302528381
UAV-NIDD,BruteForce,0,0.02984856255352497,0.0036836436484009027
UAV-NIDD,BruteForce,1,0.022681882604956627,0.0028650495223701
UAV-NIDD,BruteForce,2,0.03606373071670532,0.0048447237350046635
UAV-NIDD,BruteForce,3,0.02946510724723339,0.0037185177206993103
UAV-NIDD,BruteForce,4,0.027248511090874672,0.003476344048976898
UAV-NIDD,BruteForce,5,0.598615288734436,0.07825202494859695
UAV-NIDD,BruteForce,6,0.024799339473247528,0.0031289285980165005
UAV-NIDD,BruteForce,7,0.33341264724731445,0.040944404900074005
UAV-NIDD,BruteForce,8,0.4189204275608063,0.054592315107584
UAV-NIDD,BruteForce,9,0.03256504610180855,0.004051724914461374
UAV-NIDD,De-authentication,0,2.2250568866729736,0.2921026349067688
UAV-NIDD,De-authentication,1,1.645451545715332,0.21411196887493134
UAV-NIDD,De-authentication,2,3.416353940963745,0.4753975570201874
UAV-NIDD,De-authentication,3,1.1710336208343506,0.15601317584514618
UAV-NIDD,De-authentication,4,2.282672166824341,0.28317421674728394
UAV-NIDD,De-authentication,5,4.972965240478516,0.6232733726501465
UAV-NIDD,De-authentication,6,1.1595513820648193,0.15252932906150818
UAV-NIDD,De-authentication,7,1.8365274667739868,0.23168490827083588
UAV-NIDD,De-authentication,8,1.4493741989135742,0.19921478629112244
UAV-NIDD,De-authentication,9,2.9035680294036865,0.39215707778930664
