dataset,held_out,seed,id_cov,shift_cov_marg,shift_cov_bal,shift_balacc,n_groups,gtrain,gcal,gid,gshift
UAV-CAS,DoS,0,0.9034165571616294,0.9993072873372125,0.9995829858215179,0.9868223519599666,1024,614,204,102,104
UAV-CAS,DoS,1,0.9080890220415151,0.9992970617179812,0.9995755517826825,0.9890492359932088,1024,614,204,102,104
UAV-CAS,DoS,2,0.9066843150231635,0.9988765622805785,0.9993218040013564,0.9883011190233978,1024,614,204,102,104
UAV-CAS,DoS,3,0.9108367626886146,0.9990846681922196,0.9994373593398349,0.9852775693923481,1024,614,204,102,104
UAV-CAS,DoS,4,0.885905327955848,0.9978331527627302,0.9987015094952119,0.9827138451550073,1024,614,204,102,104
UAV-CAS,DDoS,0,0.8993540810334704,0.9996243708211254,0.9995829858215179,0.986175991383379,1024,614,204,102,104
UAV-CAS,DDoS,1,0.9096702068194522,0.999469937907012,0.9994057724957555,0.9892168570688613,1024,614,204,102,104
UAV-CAS,DDoS,2,0.9074920858248329,0.9991675495686393,0.9991989296443031,0.9863408303840706,1024,614,204,102,104
UAV-CAS,DDoS,3,0.9076615922136262,0.9990512333965844,0.9988747186796699,0.9852426030236372,1024,614,204,102,104
UAV-CAS,DDoS,4,0.8838043965903993,0.9989611931438748,0.9989150700064047,0.9807874521374642,1024,614,204,102,104
UAV-CAS,Blackhole,0,0.9108771028637472,0.615703163823091,0.7127764938923737,0.5025825210345035,1024,614,204,102,104
UAV-CAS,Blackhole,1,0.9328768798141582,0.6352327002110407,0.7288662061868267,0.5067184729841302,1024,614,204,102,104
UAV-CAS,Blackhole,2,0.890843761615661,0.5369157322082825,0.6557444701221525,0.5049530949885256,1024,614,204,102,104
UAV-CAS,Blackhole,3,0.8989860583016477,0.5374254928931683,0.6669280290524926,0.5029714634006801,1024,614,204,102,104
UAV-CAS,Blackhole,4,0.8957898612986376,0.5879520709087924,0.6891328356000741,0.5037554920730831,1024,614,204,102,104
UAV-CAS,Wormhole,0,0.8909676619997522,0.6233018923889185,0.7076218152087398,0.5048981697600146,1024,614,204,102,104
UAV-CAS,Wormhole,1,0.8791899441340782,0.5339063992359121,0.6404652721486005,0.5080747697851016,1024,614,204,102,104
UAV-CAS,Wormhole,2,0.9159076731129133,0.5899164677804296,0.6836218007733382,0.5079333072719256,1024,614,204,102,104
UAV-CAS,Wormhole,3,0.9318472969510633,0.5741632703470421,0.682515322487407,0.5035117472518562,1024,614,204,102,104
UAV-CAS,Wormhole,4,0.8791702050224433,0.562474299477178,0.6569777606603581,0.5015014170037643,1024,614,204,102,104
UAV-CAS,Replay,0,0.9041035283707555,0.9113466334164588,0.824934976678096,0.5026610652910347,1024,614,204,102,104
UAV-CAS,Replay,1,0.9029481385840327,0.8903348073278585,0.7868131799031629,0.5110094531430128,1024,614,204,102,104
UAV-CAS,Replay,2,0.9021920551908312,0.8860280196895115,0.7776855933587029,0.5031381635959459,1024,614,204,102,104
UAV-CAS,Replay,3,0.8994509265614276,0.8738616283811336,0.7720893186259528,0.5028023672584813,1024,614,204,102,104
UAV-CAS,Replay,4,0.8833172613307618,0.8873686782311263,0.7741690161730198,0.497822263100627,1024,614,204,102,104
UAV-NIDD,DDoS,0,1.0,0.9152270540255694,0.4576974196800953,1.0,292,175,58,29,30
UAV-NIDD,DDoS,1,0.8917064439140812,0.29001008657644783,0.15813052843851688,1.0,292,175,58,29,30
UAV-NIDD,DDoS,2,0.9781390134529148,0.067487052568862,0.067487052568862,1.0,292,175,58,29,30
UAV-NIDD,DDoS,3,0.1695719504447268,0.11645813282001925,0.11645813282001925,1.0,292,175,58,29,30
UAV-NIDD,DDoS,4,0.989207611474013,0.24501417985545695,0.12274852193042761,0.9651162790697674,292,175,58,29,30
UAV-NIDD,UDP Flooding,0,1.0,1.0,1.0,1.0,292,175,58,29,30
