dataset,held_out,seed,id_cov,shift_cov_marg,shift_cov_bal,shift_balacc,n_groups,gtrain,gcal,gid,gshift
UAV-NIDD,UDP Flooding,1,0.9811940298507462,0.18328133125325013,0.10212981744421906,1.0,292,175,58,29,30
UAV-NIDD,UDP Flooding,2,0.9966358284272497,0.0,0.0,1.0,292,175,58,29,30
UAV-NIDD,UDP Flooding,3,0.994453198865427,0.9699217618081716,0.9699217618081716,1.0,292,175,58,29,30
UAV-NIDD,UDP Flooding,4,0.9997159897756319,0.9677997456353336,0.4851057664445088,0.9651162790697674,292,175,58,29,30
UAV-NIDD,MITM,0,1.0,0.9997664233576642,0.5,1.0,292,175,58,29,30
UAV-NIDD,MITM,2,0.5,0.9882016237369312,0.9882016237369312,1.0,292,175,58,29,30
UAV-NIDD,MITM,3,0.9986461043768907,1.0,1.0,1.0,292,175,58,29,30
UAV-NIDD,MITM,4,1.0,0.9977278023770683,0.5465116279069767,1.0,292,175,58,29,30
UAV-NIDD,Jamming,0,1.0,0.9991493886230728,0.5,1.0,292,175,58,29,30
UAV-NIDD,Jamming,1,0.9791169451073986,0.12549636622461977,0.08912418857082048,1.0,292,175,58,29,30
UAV-NIDD,Jamming,2,0.9963565022421524,0.0,0.0,1.0,292,175,58,29,30
UAV-NIDD,Jamming,3,0.9730541114446803,1.0,1.0,1.0,292,175,58,29,30
UAV-NIDD,Jamming,4,1.0,0.9909311399346199,0.5,0.9651162790697674,292,175,58,29,30
UAV-NIDD,BruteForce,0,0.9979615608619685,0.9994213545335614,0.49981127327629593,1.0,292,175,58,29,30
UAV-NIDD,BruteForce,1,0.9805389221556886,0.8157244220645457,0.4484021137393055,1.0,292,175,58,29,30
UAV-NIDD,BruteForce,2,0.9963565022421524,0.4463009562154001,0.4463009562154001,1.0,292,175,58,29,30
UAV-NIDD,BruteForce,3,0.9984513054700686,1.0,1.0,1.0,292,175,58,29,30
UAV-NIDD,BruteForce,4,1.0,0.9978406066388791,0.5,0.9651162790697674,292,175,58,29,30
UAV-NIDD,De-authentication,0,1.0,0.0,0.0,0.5,292,175,58,29,30
UAV-NIDD,De-authentication,1,0.9823985680190931,0.0,0.0,0.6204910578963322,292,175,58,29,30
UAV-NIDD,De-authentication,2,0.9966358284272497,0.0,0.0,0.0,292,175,58,29,30
UAV-NIDD,De-authentication,3,0.976783210841582,0.0,0.0,0.14640800242497726,292,175,58,29,30
UAV-NIDD,De-authentication,4,0.9994316567206593,0.0,0.0,0.932075963822723,292,175,58,29,30
