dataset,held_out,seed,one_minus_q,atk_empty,atk_wrong_normal,atk_correct_attack,atk_both,norm_correct_normal,norm_wrong_attack,norm_empty,norm_both
UAVIDS-2025,Sybil Attack,0,0.9996131062507629,0.11247248411346929,0.00012460024089379907,0.8874029156456369,0.0,0.8067226890756303,0.0,0.19327731092436976,0.0
UAVIDS-2025,Sybil Attack,1,0.9996140599250793,0.05166756655729535,0.001661336545250654,0.946671096897454,0.0,0.8365164247517188,0.0,0.16348357524828114,0.0
UAVIDS-2025,Sybil Attack,2,0.9996417760266922,0.09980479295593304,0.0,0.900195207044067,0.0,0.8227654698242933,0.0,0.17723453017570664,0.0
UAVIDS-2025,Sybil Attack,3,0.9995653033256531,0.11654275864933339,0.0,0.8834572413506666,0.0,0.8204736440030558,0.0,0.17952635599694422,0.0
UAVIDS-2025,Sybil Attack,4,0.9995984435081482,0.0485110271213191,0.00012460024089379907,0.9513643726377871,0.0,0.8368983957219251,0.0,0.16310160427807488,0.0
UAVIDS-2025,Sybil Attack,5,0.9996240467298776,0.10848527640486771,0.0,0.8915147235951323,0.0,0.8277310924369747,0.0,0.1722689075630252,0.0
UAVIDS-2025,Sybil Attack,6,0.9995970129966736,0.04506375378992399,0.0,0.954936246210076,0.0,0.8304048892284186,0.0,0.16959511077158135,0.0
UAVIDS-2025,Sybil Attack,7,0.9996091723442078,0.04053661170411596,0.0005399343772064626,0.9589234539186776,0.0,0.8349885408708938,0.0,0.1650114591291062,0.0
UAVIDS-2025,Sybil Attack,8,0.9996029734611511,0.10433193504174108,0.0,0.8956680649582589,0.0,0.8269671504965622,0.0,0.17303284950343775,0.0
UAVIDS-2025,Sybil Attack,9,0.9995778226584662,0.06396145699215018,0.0,0.9360385430078498,0.0,0.8296409472880061,0.0,0.1703590527119939,0.0
UAVIDS-2025,Blackhole Attack,0,0.9997397065162659,0.6346227499042513,0.0,0.36537725009574873,0.0,0.8109243697478992,0.0,0.18907563025210083,0.0
UAVIDS-2025,Blackhole Attack,1,0.9997177720069885,0.6345461509000383,0.0,0.3654538490999617,0.0,0.839572192513369,0.0,0.16042780748663102,0.0
UAVIDS-2025,Blackhole Attack,2,0.9996988773345947,0.6336269628494829,0.00034469551895825355,0.3660283416315588,0.0,0.8357524828113063,0.0,0.16424751718869365,0.0
UAVIDS-2025,Blackhole Attack,3,0.9996999502182007,0.6348525469168901,3.829950210647262e-05,0.36510915358100343,0.0,0.8204736440030558,0.0,0.17952635599694422,0.0
UAVIDS-2025,Blackhole Attack,4,0.9996863602136727,0.6345461509000383,7.659900421294524e-05,0.36537725009574873,0.0,0.8334606569900688,0.0,0.16653934300993126,0.0
UAVIDS-2025,Blackhole Attack,5,0.9997161030769348,0.6327843738031406,3.829950210647262e-05,0.36717732669475295,0.0,0.8304048892284186,0.0,0.16959511077158135,0.0
