target,held_out,seed,one_minus_q,cal_attack_frac,idtest_attack_frac,id_cov,shift_cov_marg,shift_cov_bal,shift_balacc
balanced_0.5,DoS,0,0.2494194656610489,0.5,0.5,0.9015190305512886,0.9991823385118561,0.9991823385118561,0.9844644317252658
balanced_0.5,DoS,1,0.25217947363853455,0.5,0.5,0.9007509813961427,0.9979558462796402,0.9979558462796403,0.982829108748978
balanced_0.5,DoS,2,0.2515237033367157,0.5,0.5,0.9015190305512886,0.9983646770237122,0.9983646770237122,0.9844644317252658
balanced_0.5,DoS,3,0.25340813398361206,0.5,0.5,0.895289298515105,0.9983646770237122,0.9983646770237122,0.9848732624693377
balanced_0.5,DoS,4,0.2546220123767853,0.5,0.5,0.8944359105649429,0.9995911692559281,0.9995911692559281,0.9893704006541292
balanced_0.5,DoS,5,0.25398609042167664,0.5,0.5,0.8961426864652671,1.0,1.0,0.9885527391659853
balanced_0.5,DoS,6,0.24998801946640015,0.5,0.5,0.9053592763270183,0.9991823385118561,0.9991823385118561,0.9840556009811938
balanced_0.5,DoS,7,0.24909675121307373,0.5,0.5,0.9035671616316777,0.9995911692559281,0.9995911692559281,0.9869174161896974
balanced_0.5,DoS,8,0.24572859704494476,0.5,0.5,0.9095408772828127,1.0,1.0,0.9873262469337694
balanced_0.5,DoS,9,0.25111085176467896,0.5,0.5,0.9050179211469535,0.9995911692559281,0.9995911692559281,0.9877350776778413
balanced_0.5,DDoS,0,0.23932649195194244,0.5,0.5,0.8975214489990467,0.9979518689196109,0.9979518689196109,0.9843830005120328
balanced_0.5,DDoS,1,0.24097049236297607,0.5,0.5,0.8968541468064823,0.998805256869773,0.998805256869773,0.9837856289469192
balanced_0.5,DDoS,2,0.2423306256532669,0.5,0.5,0.8953288846520495,0.998805256869773,0.998805256869773,0.9836149513568868
balanced_0.5,DDoS,3,0.24036699533462524,0.5,0.5,0.8978074356530028,0.9982078853046595,0.9982078853046595,0.9842123229220003
balanced_0.5,DDoS,4,0.24096281826496124,0.5,0.5,0.9011439466158246,0.9993172896398703,0.9993172896398703,0.9871991807475679
balanced_0.5,DDoS,5,0.240840345621109,0.5,0.5,0.9042897998093422,0.9995733060249189,0.999573306024919,0.9853217272572111
balanced_0.5,DDoS,6,0.23479260504245758,0.5,0.5,0.9092469018112488,0.9996586448199352,0.9996586448199352,0.9848096944871139
balanced_0.5,DDoS,7,0.23958449065685272,0.5,0.5,0.9012392755004767,0.999231950844854,0.9992319508448542,0.9826762246117084
balanced_0.5,DDoS,8,0.2361656129360199,0.5,0.5,0.9076263107721639,0.9985492404847244,0.9985492404847243,0.9824202082266599
balanced_0.5,DDoS,9,0.2415902316570282,0.5,0.5,0.9028598665395615,0.9984639016897081,0.9984639016897081,0.9857484212322922
balanced_0.5,Blackhole,0,0.15733687579631805,0.5,0.5,0.8961493582263711,0.8009045912271718,0.800904591227172,0.5024748250554703
balanced_0.5,Blackhole,1,0.15140663087368011,0.5,0.5,0.9024504084014002,0.8101211810889231,0.8101211810889231,0.5027308414405189
balanced_0.5,Blackhole,2,0.15537820756435394,0.5,0.5,0.8987164527421236,0.8016726403823178,0.8016726403823178,0.5037549069807135
balanced_0.5,Blackhole,3,0.1546933501958847,0.5,0.5,0.9,0.8094384707287933,0.8094384707287934,0.5033282130056324
balanced_0.5,Blackhole,4,0.15391607582569122,0.5,0.5,0.9022170361726954,0.8042328042328042,0.8042328042328042,0.5038402457757296
balanced_0.5,Blackhole,5,0.15333367884159088,0.5,0.5,0.9045507584597433,0.8055128861580475,0.8055128861580474,0.5040109233657621
balanced_0.5,Blackhole,6,0.15171560645103455,0.5,0.5,0.9050175029171529,0.8155828639699607,0.8155828639699607,0.5046082949308756
balanced_0.5,Blackhole,7,0.15457938611507416,0.5,0.5,0.8987164527421236,0.7987711213517665,0.7987711213517665,0.5028161802355351
balanced_0.5,Blackhole,8,0.15102003514766693,0.5,0.5,0.9078179696616102,0.8142174432497014,0.8142174432497014,0.5052056664959891
balanced_0.5,Blackhole,9,0.15535122156143188,0.5,0.5,0.8995332555425904,0.7967229902713774,0.7967229902713774,0.5046936337258918
balanced_0.5,Wormhole,0,0.1579602211713791,0.5,0.5,0.9007717750826902,0.7854582693292371,0.7854582693292371,0.507168458781362
balanced_0.5,Wormhole,1,0.15862126648426056,0.5,0.5,0.8983461962513781,0.7753882915173238,0.7753882915173238,0.5057176992660863
balanced_0.5,Wormhole,2,0.16063007712364197,0.5,0.5,0.8980154355016539,0.7885304659498208,0.7885304659498208,0.5046082949308756
balanced_0.5,Wormhole,3,0.16036878526210785,0.5,0.5,0.9039691289966924,0.786226318484383,0.786226318484383,0.5053763440860215
balanced_0.5,Wormhole,4,0.16259326040744781,0.5,0.5,0.9040793825799338,0.783068783068783,0.783068783068783,0.5055470216760539
balanced_0.5,Wormhole,5,0.1578354835510254,0.5,0.5,0.9014332965821389,0.7868236900494965,0.7868236900494965,0.5056323604710702
balanced_0.5,Wormhole,6,0.15544696152210236,0.5,0.5,0.9098125689084895,0.7972350230414746,0.7972350230414746,0.5056323604710701
balanced_0.5,Wormhole,7,0.16371750831604004,0.5,0.5,0.8927232635060639,0.7697559310462536,0.7697559310462536,0.5058883768561188
balanced_0.5,Wormhole,8,0.16578403115272522,0.5,0.5,0.8883131201764057,0.7584912101041134,0.7584912101041134,0.5041816009557945
balanced_0.5,Wormhole,9,0.16355682909488678,0.5,0.5,0.8943770672546858,0.7687318655060591,0.7687318655060591,0.5055470216760539
balanced_0.5,Replay,0,0.23970599472522736,0.5,0.5,0.899641577060932,0.8195061728395062,0.8195061728395061,0.5044444444444445
balanced_0.5,Replay,1,0.23654711246490479,0.5,0.5,0.9029697900665643,0.837283950617284,0.837283950617284,0.49777777777777776
balanced_0.5,Replay,2,0.23533591628074646,0.5,0.5,0.9037378392217101,0.8358024691358025,0.8358024691358025,0.5034567901234568
balanced_0.5,Replay,3,0.2370561957359314,0.5,0.5,0.8991295442908346,0.8296296296296296,0.8296296296296296,0.5034567901234568
balanced_0.5,Replay,4,0.23923112452030182,0.5,0.5,0.8981054787506401,0.8286419753086419,0.828641975308642,0.5061728395061729
balanced_0.5,Replay,5,0.23707741498947144,0.5,0.5,0.9062126642771804,0.8323456790123457,0.8323456790123457,0.5032098765432099
balanced_0.5,Replay,6,0.23598787188529968,0.5,0.5,0.9023724185014508,0.8328395061728395,0.8328395061728395,0.5039506172839506
balanced_0.5,Replay,7,0.23491992056369781,0.5,0.5,0.9051032599419696,0.8392592592592593,0.8392592592592593,0.5017283950617284
balanced_0.5,Replay,8,0.23881714046001434,0.5,0.5,0.9024577572964669,0.8274074074074074,0.8274074074074074,0.5044444444444445
balanced_0.5,Replay,9,0.23917734622955322,0.5,0.5,0.8975934459805428,0.8241975308641976,0.8241975308641976,0.5069135802469136
natural,DoS,0,0.2688106596469879,0.34968650313496863,0.5245475939300495,0.8514160512862128,0.9990115786500988,0.9994026284348865,0.9875405359276327
natural,DoS,1,0.27065950632095337,0.36046639533604663,0.5245475939300495,0.8509291568611539,0.9974583451002542,0.9984639016897081,0.9848096944871139
natural,DoS,2,0.268695592880249,0.35166648333516665,0.5245475939300495,0.8558792501825854,0.9983055634001694,0.9989759344598055,0.9854070660522274
natural,DoS,3,0.27253055572509766,0.3472665273347266,0.5245475939300495,0.8478454921691146,0.9970347359502966,0.9982078853046594,0.9845536781020652
natural,DoS,4,0.2721126973628998,0.35430645693543067,0.5245475939300495,0.8514160512862128,0.9985879695001412,0.9991466120498378,0.9897593445980543
natural,DoS,5,0.2710793614387512,0.3580464195358046,0.5245475939300495,0.8551489085449971,0.9994351878000565,0.9996586448199352,0.9877965523126813
natural,DoS,6,0.2672111988067627,0.35573644263557364,0.5245475939300495,0.8605047472206443,0.9990115786500988,0.9994026284348865,0.9853217272572111
natural,DoS,7,0.2678394913673401,0.35507644923550763,0.5245475939300495,0.8540128215531932,0.9985879695001412,0.9991466120498378,0.98489503328213
natural,DoS,8,0.26592445373535156,0.3567264327356726,0.5245475939300495,0.8618842814249776,0.9985879695001412,0.9991466120498378,0.9861751152073732
natural,DoS,9,0.2662862539291382,0.36112638873611264,0.5245475939300495,0.8633449647001542,0.9985879695001412,0.9991466120498378,0.9864311315924219
natural,DDoS,0,0.26712602376937866,0.3002829521339307,0.47235230547550433,0.8383465417867435,0.9970398481973435,0.9971816501340831,0.9837661022734834
natural,DDoS,1,0.26361340284347534,0.3070030653147843,0.47235230547550433,0.8482528818443804,0.9987096774193548,0.998634217674677,0.9837679102988015
natural,DDoS,2,0.2651991844177246,0.3132515916057534,0.47235230547550433,0.8473523054755043,0.9984060721062619,0.9983608442465741,0.9836984821265848
natural,DDoS,3,0.26677000522613525,0.30464513086536193,0.47235230547550433,0.8453710374639769,0.9979506641366224,0.997848811476477,0.9843132107347525
natural,DDoS,4,0.2644129693508148,0.31089365715633105,0.47235230547550433,0.8510446685878963,0.9990891840607211,0.9990099253357865,0.9874201214414446
natural,DDoS,5,0.2671852111816406,0.3074746522046687,0.47235230547550433,0.8532961095100865,0.9992409867172676,0.9992655801157715,0.9851835941229052
natural,DDoS,6,0.26024189591407776,0.3105399669889177,0.47235230547550433,0.8603206051873199,0.9996204933586338,0.9995903014629095,0.9845692271198012
natural,DDoS,7,0.2636276185512543,0.31384107521810894,0.47235230547550433,0.849963976945245,0.9991650853889943,0.9991632458827648,0.9829137991385121
natural,DDoS,8,0.2621060311794281,0.3080641358170243,0.47235230547550433,0.8519452449567724,0.9981024667931688,0.9981214616944524,0.9826227070622915
natural,DDoS,9,0.2667299807071686,0.3065314784248998,0.47235230547550433,0.848342939481268,0.9977988614800759,0.9977801065143875,0.9854566059459444
natural,Blackhole,0,0.19950206577777863,0.2704323919020245,0.4224171924290221,0.8394124605678234,0.5491515994436718,0.6655221224133033,0.5034705335480637
natural,Blackhole,1,0.19455496966838837,0.2633091727068233,0.4224171924290221,0.8427641955835962,0.5652294853963838,0.6773603586562191,0.5032998559580313
natural,Blackhole,2,0.19921618700027466,0.2669332666833292,0.4224171924290221,0.8422712933753943,0.5531015299026426,0.668496203367448,0.5041231893820846
natural,Blackhole,3,0.19568555057048798,0.26943264183954013,0.4224171924290221,0.8439471608832808,0.5635605006954103,0.6761663973521927,0.503281014650944
natural,Blackhole,4,0.198525533080101,0.2656835791052237,0.4224171924290221,0.8417783911671924,0.5577190542420027,0.6718332841135001,0.5042882603626062
natural,Blackhole,5,0.19782429933547974,0.267808047988003,0.4224171924290221,0.8426656151419558,0.5554381084840055,0.670229448662925,0.5034601021552427
natural,Blackhole,6,0.1941027194261551,0.2648087978005499,0.4224171924290221,0.8493690851735016,0.5757440890125174,0.6852921756355232,0.5047806699994157
natural,Blackhole,7,0.19990460574626923,0.26505873531617097,0.4224171924290221,0.8377365930599369,0.545201668984701,0.6625921125090446,0.5031291783679988
natural,Blackhole,8,0.1952536255121231,0.2685578605348663,0.4224171924290221,0.848679022082019,0.5622253129346314,0.6752200425189487,0.5042057248723454
natural,Blackhole,9,0.20139488577842712,0.2689327668082979,0.4224171924290221,0.8357649842271293,0.5372461752433936,0.6567348960052822,0.504601582495117
natural,Wormhole,0,0.20462045073509216,0.2842377260981912,0.4363094092745815,0.8460650375216471,0.5457807547395491,0.650268748851556,0.5069669674595993
natural,Wormhole,1,0.21670392155647278,0.2724252491694352,0.4363094092745815,0.8325957283047912,0.5280186591711022,0.6365186199634202,0.505535338856298
natural,Wormhole,2,0.20644523203372955,0.2815307001353513,0.4363094092745815,0.8451029440061574,0.5512230129776927,0.6544576643367337,0.5055725557474775
natural,Wormhole,3,0.20504221320152283,0.2768549280177187,0.4363094092745815,0.8491437367712141,0.5567250762514203,0.6587319186169276,0.5052255202186006
natural,Wormhole,4,0.2108001410961151,0.2789467208071859,0.4363094092745815,0.839811429670964,0.5347766281920938,0.6417988538046033,0.5062599015236503
natural,Wormhole,5,0.20816980302333832,0.27587055494032237,0.4363094092745815,0.8405811044833558,0.5442258238143651,0.6491898361259436,0.5060520070424384
natural,Wormhole,6,0.19900134205818176,0.2806693736926295,0.4363094092745815,0.8534731575909178,0.5640810956282519,0.6644331660843799,0.5050626128429182
natural,Wormhole,7,0.21516966819763184,0.27968500061523316,0.4363094092745815,0.8395228016163171,0.5306500807367981,0.6387405634321488,0.5060463266936263
natural,Wormhole,8,0.21742184460163116,0.27820844099913866,0.4363094092745815,0.8311525880315567,0.5183900484420788,0.6291467685540542,0.5051380915580462
natural,Wormhole,9,0.21466495096683502,0.2815307001353513,0.4363094092745815,0.8327881470078892,0.5253274325698224,0.6345257917534157,0.505959942965841
natural,Replay,0,0.2575143277645111,0.3476861613583398,0.5182535767143562,0.8542180562407499,0.8796296296296297,0.7671331854127552,0.5047266313932981
natural,Replay,1,0.26099836826324463,0.3481300632560204,0.5182535767143562,0.8434468015129091,0.8807711821410451,0.7698401319906696,0.4999260397109859
natural,Replay,2,0.2581964433193207,0.3433581178559538,0.5182535767143562,0.8492024338102285,0.8781075596144089,0.7644933720202538,0.504241907037606
natural,Replay,3,0.25865429639816284,0.35190322938630564,0.5182535767143562,0.8543825028778161,0.878234398782344,0.76457871081527,0.5034010354440462
natural,Replay,4,0.26019442081451416,0.3460215292420375,0.5182535767143562,0.8527380365071534,0.8843226788432268,0.7754611139557377,0.5064334072936224
natural,Replay,5,0.2561091184616089,0.35179225391188546,0.5182535767143562,0.862193718138464,0.882673769660071,0.7720896626272971,0.5036718438868977
natural,Replay,6,0.2561952769756317,0.34591055376761737,0.5182535767143562,0.8546291728334156,0.8831811263318112,0.7737236160892075,0.5051658417249816
natural,Replay,7,0.257721871137619,0.3460215292420375,0.5182535767143562,0.8543825028778161,0.8843226788432268,0.7754611139557377,0.5040894350571771
