held_out,seq_balacc,seq_cov_marg,seq_cov_bal
Blackhole,0.501 ± 0.002,0.714 ± 0.008,0.832 ± 0.004
DDoS,0.966 ± 0.005,0.997 ± 0.001,0.993 ± 0.003
DoS,0.968 ± 0.008,0.990 ± 0.004,0.992 ± 0.003
Replay,0.501 ± 0.001,0.862 ± 0.023,0.863 ± 0.023
Wormhole,0.500 ± 0.001,0.738 ± 0.005,0.844 ± 0.004
