held_out,shift_heldout_recall,shift_trivial_base,seen_macroF1,shift_macroF1,seen_balacc,shift_balacc,shift_acc_raw,seen_ECE_temp,shift_ECE_temp,shift_ECE_raw,shift_Brier_temp,seen_coverage,shift_coverage,seen_AURC,shift_AURC,T
Sybil Attack,0.9962619927731861,0.9019292002247612,0.9923579309222974,0.9887035953117895,0.9946666077622868,0.9946932576547367,0.9959542985577824,0.0004119530281310208,0.003277320739334288,0.0033141678447346275,0.003852176725497074,0.9131227574848538,0.9494661921708185,2.943672447062775e-05,6.399804146193132e-05,1.0286583016800608
Blackhole Attack,0.4890846418996553,0.9088693957115009,0.9927639269878271,0.46866963901511693,0.9942943529416525,0.742059509643487,0.5351921470342523,0.0011903508530824087,0.37391651016129024,0.3831399922550468,0.35844704747612655,0.9125037661946369,0.40775549986076304,2.8872617883640043e-05,0.1831784252208307,1.1157276748010838
Wormhole Attack,0.8232001840067469,0.9087931995540691,0.9998866095240144,0.717354657061515,0.9999642422942143,0.9116000920033734,0.8393255295429208,0.00010341066860260595,0.1353257418632735,0.12892147085506692,0.14365063077230356,0.9166265060240963,0.6372979375696767,3.6289737262273244e-09,0.03360185379967837,0.7909463602786327
Flooding Attack,0.9951840210889181,0.8828320802005013,0.9914243945522312,0.9879307861220905,0.9938357438261063,0.9941542718126026,0.9949427139276763,0.000762916946062372,0.010451551788534748,0.009506841020897848,0.005744979629501291,0.9095232766338407,0.7363050483351236,3.661745178363207e-05,0.0001031921607814496,1.0587072373453574
