dataset,held_out,seed,shift_balacc,seen_balacc,shift_ECE,seen_ECE,shift_Brier,shift_cov_marg,shift_cov_bal,seen_cov_marg,shift_setsize,shift_AURC,set_empty,set_normal_only,set_attack_only,set_both
UAV-CAS,DoS,0,0.9875405359276327,0.6253573430019653,0.23134317669110985,0.11647936124464736,0.08359686135309662,0.9990115786500988,0.9994026284348865,0.8529578836322325,1.4614515673538548,0.0025736818957981644,0.0,0.3648686811635131,0.173679751482632,0.46145156735385484
UAV-CAS,DoS,1,0.9848096944871139,0.6276614904674032,0.22527784301721895,0.11850909458601266,0.08402846165538186,0.9974583451002542,0.9984639016897081,0.8477643430982715,1.4546738209545327,0.004683174229099344,0.0,0.3700931940129907,0.1752329850324767,0.4546738209545326
UAV-CAS,DoS,2,0.9854070660522274,0.6247301213416272,0.2325573001635859,0.11398490408496982,0.08705306053723749,0.9983055634001694,0.9989759344598055,0.850361113365252,1.4548150240045186,0.0038085053802075454,0.0,0.3707992092629201,0.17438576673256143,0.4548150240045185
UAV-CAS,DoS,3,0.9845536781020652,0.6297016342379246,0.2321838647359704,0.10750327655438024,0.0883856162605262,0.9970347359502966,0.9982078853046594,0.8463036598230951,1.4511437447048856,0.004727370040709262,0.0,0.37319966111268005,0.17565659418243434,0.4511437447048856
UAV-CAS,DoS,4,0.9897593445980543,0.6255385295153939,0.23288953332089282,0.12028351316707103,0.0818659744550685,0.9985879695001412,0.9991466120498378,0.8570153371743894,1.473030217452697,0.0026678342967102024,0.0,0.35286642191471335,0.17410336063258966,0.47303021745269697
UAV-CAS,DoS,5,0.9877965523126813,0.6271494576973058,0.23457399115664807,0.11333793386129995,0.08481680600426507,0.9992939847500706,0.999573306024919,0.8518217966404285,1.4500141203049985,0.0019369577736048763,0.0,0.3765885343123411,0.17339734538266027,0.4500141203049986
UAV-CAS,DoS,6,0.9853217272572111,0.6287229709434077,0.23025976864575456,0.11163753468080734,0.08566190372549225,0.9990115786500988,0.9994026284348865,0.8561226973951148,1.4656876588534313,0.002751868849870309,0.0,0.36063258966393674,0.173679751482632,0.4656876588534312
UAV-CAS,DoS,7,0.98489503328213,0.6216339627914405,0.22261784009517216,0.1273556356386659,0.08180307069942909,0.9985879695001412,0.9991466120498378,0.8588817658037815,1.4751482632024853,0.003070800107292331,0.0,0.35074837616492516,0.17410336063258966,0.47514826320248515
UAV-CAS,DoS,8,0.9861751152073732,0.6293737320640667,0.2319947757444887,0.11379341413259818,0.08599588432592455,0.9983055634001694,0.9989759344598055,0.8536070761989776,1.4713357808528664,0.003714854263604122,0.0,0.3542784524145722,0.17438576673256143,0.4713357808528664
UAV-CAS,DoS,9,0.9864311315924219,0.6256663264732771,0.22867596999090253,0.11879408384632273,0.08336946891509613,0.9984467664501553,0.9990612732548216,0.8555546538992128,1.4683705168031629,0.0030859975196826316,0.0,0.3573849195142615,0.17424456368257554,0.46837051680316294
