dataset,held_out,coverage_marginal,coverage_balanced
UAV-NIDD,BruteForce,0.6317,0.3747
UAV-NIDD,DDoS,0.0262,0.0648
UAV-NIDD,De-authentication,0.79,0.4611
UAV-NIDD,Jamming,0.006,0.073
UAV-NIDD,MITM,0.3846,0.25
UAV-NIDD,UDP Flooding,0.8268,0.508
UAVIDS-2025,Blackhole Attack,0.4083,0.5989
UAVIDS-2025,Flooding Attack,0.7176,0.7614
UAVIDS-2025,Sybil Attack,0.9116,0.8743
UAVIDS-2025,Wormhole Attack,0.635,0.7201
