held_out,tab_balacc,tab_cov_marg,seq_balacc,seq_cov_marg,seq_cov_bal
Blackhole,0.504,0.557,0.499,0.71,0.831
DDoS,0.984,0.999,0.855,0.996,0.991
DoS,0.986,0.998,0.997,0.999,0.999
Replay,0.504,0.879,0.501,0.855,0.856
Wormhole,0.506,0.546,0.499,0.733,0.841
