held_out,seed,shift_balacc,shift_coverage,fragility
DDoS,0,0.9935546062226088,0.0006462366970124375,8.159496307373047
UDP Flooding,0,0.9988857938718663,0.504121110176619,0.48188018798828125
MITM,0,0.9985589102880896,0.9488528566119663,1.3518106937408447
Jamming,0,0.9593545438718662,0.0,3.950263023376465
BruteForce,0,0.9987038981776784,0.5905863155525546,0.8294457793235779
De-authentication,0,0.9988857938718663,0.19962197426986159,2.2606453895568848
DDoS,1,0.9941091210270214,0.0,7.449333667755127
UDP Flooding,1,1.0,0.5635634340428285,0.6995866894721985
MITM,1,0.9991424010132861,0.9535014115177238,1.0871034860610962
Jamming,1,0.9696153846153845,0.0012213388639244153,3.150506019592285
BruteForce,1,0.9998181043058121,0.5930508665316228,0.19683901965618134
De-authentication,1,1.0,0.8433022376684348,0.7579663395881653
DDoS,2,0.9936416265402308,0.00015386588024105655,8.312960624694824
UDP Flooding,2,1.0,0.4562334217506631,0.4888113737106323
MITM,2,0.9991325056403626,0.004700712604559887,2.0055489540100098
Jamming,2,0.9795793269230769,0.0,3.763341188430786
BruteForce,2,0.9998181043058121,0.5907832545577313,0.41402947902679443
De-authentication,2,1.0,0.8320834095481983,0.7190468311309814
DDoS,3,0.9939201780722642,0.0011796384151814335,8.637581825256348
UDP Flooding,3,1.0,0.6636734165750146,0.5417200326919556
MITM,3,0.9992809362342169,0.004628995768706685,1.7859268188476562
Jamming,3,0.935889423076923,0.0,3.8739466667175293
BruteForce,3,0.9998181043058121,0.5925613324330408,0.12710070610046387
De-authentication,3,1.0,0.8569599414669837,0.7420904040336609
DDoS,4,0.9945785765350543,0.0,7.037505626678467
UDP Flooding,4,0.9997214484679666,0.5519376334346898,0.4871959984302521
MITM,4,0.9991358040980038,0.004694192892209596,1.8423042297363281
Jamming,4,0.9392887561602743,0.0,3.7367236614227295
BruteForce,4,0.9995395527737787,0.5911883862255233,0.4121433198451996
De-authentication,4,0.9997214484679666,0.8374489360404853,0.9116514325141907
DDoS,5,0.9895926079304276,0.0,8.850098609924316
UDP Flooding,5,0.9994428969359331,0.5807983437924565,0.5477095246315002
MITM,5,0.999233276737068,0.004694192892209596,1.631145715713501
Jamming,5,0.9754525123205485,0.0,3.549863338470459
BruteForce,5,0.9992610012417453,0.6767499437317128,0.11779339611530304
De-authentication,5,0.9997214484679666,0.2331565148466557,1.3783239126205444
DDoS,6,0.9938357460142964,1.025772534940377e-05,7.95166015625
UDP Flooding,6,0.9997214484679666,0.6636604774535809,0.397571861743927
MITM,6,0.9988440587354055,0.004700712604559887,1.4866091012954712
Jamming,6,0.9812719292371974,0.0,3.910842180252075
BruteForce,6,0.9995395527737787,0.5899729912221472,0.4443206489086151
De-authentication,6,0.9997214484679666,0.22151088348271447,1.5463316440582275
DDoS,7,0.9945335956103116,0.0,7.499636650085449
UDP Flooding,7,1.0,0.5310538914407712,0.5440886616706848
MITM,7,0.9991456994709274,0.9489050143107686,0.777320384979248
Jamming,7,0.98203125,0.0,2.3963794708251953
BruteForce,7,0.9998181043058121,0.8153331082601846,0.037399712949991226
De-authentication,7,1.0,0.8374489360404853,0.963408350944519
DDoS,8,0.993830569494988,1.025772534940377e-05,7.627130031585693
UDP Flooding,8,0.9997214484679666,0.7339134372776088,0.35370802879333496
MITM,8,0.9992431721099915,0.9489245734478194,0.8960109353065491
Jamming,8,0.9811736661667023,0.0,4.099043846130371
BruteForce,8,0.9995395527737787,0.8147197839297772,0.04524508863687515
De-authentication,8,0.9994428969359331,0.8450704225352113,0.4485757350921631
DDoS,9,0.9938279812353338,0.00023592768303628672,8.675995826721191
UDP Flooding,9,0.9997214484679666,0.7546807271786246,0.5864835977554321
MITM,9,0.9991226102674389,0.004700712604559887,0.9597879648208618
Jamming,9,0.9426901984679665,0.0,4.634730815887451
BruteForce,9,0.9995395527737787,0.590997074049066,0.07050876319408417
De-authentication,9,0.9997214484679666,0.8436070971282239,1.3030091524124146
