metric,seen,shift
Accuracy,"0.9999 [0.9998, 1.0000]","0.8394 [0.8352, 0.8437]"
Macro-F1,"0.9999 [0.9997, 1.0000]","0.7174 [0.7107, 0.7242]"
ECE (temp),"0.0001 [0.0000, 0.0002]","0.1354 [0.1312, 0.1393]"
Brier (temp),"0.0000 [0.0000, 0.0001]","0.1436 [0.1397, 0.1473]"
AURC,"0.0000 [0.0000, 0.0000]","0.0336 [0.0322, 0.0351]"
