dataset,held_out,fragility_raw,fragility_norm
UAVIDS-2025,Sybil Attack,2.5859,0.2544
UAVIDS-2025,Blackhole Attack,4.9801,0.4806
UAVIDS-2025,Wormhole Attack,3.0317,0.2892
UAVIDS-2025,Flooding Attack,1.6519,0.1573
UAV-NIDD,DDoS,2.5843,0.3702
UAV-NIDD,UDP Flooding,0.3879,0.0547
UAV-NIDD,MITM,0.3158,0.0481
UAV-NIDD,Jamming,0.1602,0.0258
UAV-NIDD,BruteForce,0.0979,0.0142
UAV-NIDD,De-authentication,0.0746,0.0122
