held_out,shift_balacc_mean,shift_balacc_std,shift_macroF1_mean,shift_macroF1_std,shift_heldout_recall_mean,shift_heldout_recall_std,shift_ECE_temp_mean,shift_ECE_temp_std,shift_coverage_mean,shift_coverage_std,shift_AURC_mean,shift_AURC_std,seen_coverage_mean,seen_coverage_std,T_mean,T_std
Blackhole Attack,0.730602,0.018535,0.455694,0.023511,0.469989,0.035931,0.402916,0.045721,0.407978,0.001182,0.189614,0.01328,0.912221,0.002159,1.067791,0.064519
Flooding Attack,0.992922,0.002367,0.987024,0.008652,0.995012,0.004196,0.008007,0.002927,0.718094,0.027667,0.00015,0.000134,0.912265,0.002724,1.038853,0.040202
Sybil Attack,0.993661,0.000737,0.986703,0.001102,0.99561,0.000478,0.003618,0.000381,0.911467,0.029026,0.000126,5.9e-05,0.911023,0.002383,1.037118,0.06039
Wormhole Attack,0.905658,0.006026,0.705961,0.011752,0.81147,0.011991,0.152635,0.014607,0.634751,0.005113,0.034126,0.002097,0.912289,0.002232,0.616549,0.341955
