held_out,seed,shift_heldout_recall,shift_trivial_base,seen_balacc,shift_balacc,seen_macroF1,shift_macroF1,seen_ECE_temp,shift_ECE_temp,shift_ECE_raw,shift_Brier_temp,seen_coverage,shift_coverage,seen_AURC,shift_AURC,T
Sybil Attack,0,0.9954313245005607,0.9019292002247612,0.9940759257622043,0.9944689090035271,0.9914641611780224,0.9867628307116072,0.0012330475064767606,0.0031951903002542634,0.003705329174750258,0.004329373366451822,0.9077701311687548,0.8794905412998689,3.862091907819785e-05,0.0001477587975443798,1.0714461655443932
Blackhole Attack,0,0.4767522022213711,0.9088693957115009,0.9929813556572578,0.7337924494682104,0.9910748670856371,0.46007524439812464,0.0007410758585690233,0.39068330250908667,0.4023426022878597,0.3751514966371354,0.9088882193431757,0.4059802283486494,4.074888083892926e-05,0.18944608092311677,1.1491918663331797
Wormhole Attack,0,0.7923790538986429,0.9087931995540691,0.99980894153611,0.8959985414642183,0.99988657429929,0.6877774733811083,0.00013069393730235913,0.15692938529945843,0.15591640489829645,0.14993173181252129,0.9088554216867469,0.6277870680044593,7.2581660785023025e-09,0.033396768261165395,0.9642829369186346
Flooding Attack,0,0.9915340160194667,0.8828320802005013,0.9940324006599313,0.9909923708821551,0.992085160102461,0.9797073712693082,0.0007202003570188667,0.007821484620815038,0.006956098268874872,0.007895626959945288,0.909411369740376,0.7117794486215538,2.8693094599227233e-05,0.0002510753600635234,1.0410007877530516
Sybil Attack,1,0.9954313245005607,0.9019292002247612,0.9935550178243308,0.9923680686673926,0.9917870904958106,0.9855898504631169,0.0010676690847501549,0.003882326353007174,0.0038668424622670767,0.004498850019099123,0.9105934945003236,0.9358681401011425,4.727622193331391e-05,0.00024374150760002756,0.9623954928104981
Blackhole Attack,1,0.4476828801225584,0.9088693957115009,0.9933870371001147,0.7186848319634946,0.9918594178613055,0.44101209983165807,0.0012779439150166,0.44394659003405756,0.444050877051198,0.43026900131846285,0.9139499849352215,0.4086605402394876,5.130690503976855e-05,0.1979110264139128,1.0014652464911635
Wormhole Attack,1,0.8077129494748141,0.9087931995540691,0.9999284845884289,0.9036654892523039,0.9997732542517013,0.7020975189515848,0.0001159930702823438,0.1584358253102235,0.15366293150117485,0.15573978979839542,0.913012048192771,0.6286231884057971,1.4516550809403336e-08,0.033426780488459935,0.8420409962266149
Flooding Attack,1,0.9973131907127649,0.8828320802005013,0.9935735347143397,0.9929270308032885,0.9905453032686773,0.9910562411336836,0.000984822848432296,0.006748625253456826,0.0059000028708283865,0.0037333936851099065,0.9083482542524619,0.7138829215896885,5.2980363391787294e-05,9.624274705935876e-05,1.0613745623103177
Sybil Attack,2,0.9962619927731861,0.9019292002247612,0.9923909080611371,0.9943112866845304,0.9895596836687024,0.9884905445499275,0.0012272593590918692,0.0037756925809769846,0.0039020049807649863,0.004094207321410758,0.9107111346391389,0.8926016107885372,4.4723919956941346e-05,0.00014586187009801627,1.0871252278111725
Blackhole Attack,2,0.4414017617770969,0.9088693957115009,0.9934350135780267,0.7164992002162796,0.9915267725496555,0.4371697288637495,0.0006797880660578424,0.4319761150814645,0.43898126193374654,0.4106224140255168,0.9122627297378728,0.40883458646616544,4.1926833689807095e-05,0.19928672047617443,1.0931849178202215
Wormhole Attack,2,0.8120447749750824,0.9087931995540691,0.99980894153611,0.9058314020024381,0.99988657429929,0.7062654763460354,0.0001481850473672033,0.15436116705459,0.13816210354825786,0.1564853831508805,0.910421686746988,0.6377856744704571,2.1777122275006653e-08,0.03645058458539741,0.5374337859913647
