held_out,shift_balacc_mean,shift_balacc_std,shift_macroF1_mean,shift_macroF1_std,shift_heldout_recall_mean,shift_heldout_recall_std,shift_ECE_temp_mean,shift_ECE_temp_std,shift_coverage_mean,shift_coverage_std,shift_AURC_mean,shift_AURC_std,seen_coverage_mean,seen_coverage_std,T_mean,T_std
BruteForce,0.99954,0.000347,0.991011,0.000176,0.999636,0.0,0.00035,4.8e-05,0.644594,0.093698,0.0,0.0,0.918576,0.009207,0.785743,0.337415
DDoS,0.993542,0.001429,0.797473,0.024293,0.987475,0.002969,0.019811,0.009081,0.000224,0.000393,0.000968,0.000757,0.916184,0.003772,0.71069,0.286463
De-authentication,0.999721,0.000347,0.999844,0.000195,1.0,0.0,6.9e-05,6.4e-05,0.655021,0.301683,0.0,0.0,0.917913,0.007528,0.78471,0.337391
Jamming,0.964635,0.018845,0.770959,0.073195,0.929882,0.037707,0.059611,0.022946,0.000122,0.000386,0.006334,0.003014,0.914736,0.003761,0.812854,0.298213
MITM,0.999084,0.000219,0.968831,0.006169,0.998446,0.000324,0.001449,0.000327,0.38283,0.488183,1.4e-05,1.9e-05,0.919852,0.008599,0.636875,0.40551
UDP Flooding,0.999721,0.000347,0.999859,0.000176,1.0,0.0,0.00018,0.000132,0.600364,0.099211,0.0,0.0,0.917775,0.004107,0.806401,0.264636
