dataset,worst_family,balacc_full,balacc_ablated,balcov_full,balcov_ablated
UAVIDS-2025,Blackhole Attack,0.7338,0.8552,0.5882,0.6236
UAV-NIDD,DDoS,0.9963,0.9926,0.0,0.7281
